pert_id,pert_iname,pubchem_cid,SMILES
BRD-A03668899,BRD-A03668899,,CCN1CC2CCCC3(C1)C(=O)NC1(CCCCC1)N=C23
BRD-A03684405,BRD-A03684405,54649870,O=C1[C@H](Cc2ccccc2)CCn2cc(COCC3CCCN13)nn2
BRD-A03716992,BRD-A03716992,,CSCCC(N1C(=O)c2ccccc2C1=O)C(=O)C(C#N)c1nc2ccccc2[nH]1
BRD-A03727794,BRD-A03727794,,CCOC(=O)Cn1c(CN2CC(C)OC(C)C2)nc2n(C)c(=O)n(C)c(=O)c12
BRD-A03739427,BRD-A03739427,,OCc1cc(=O)c(O)c(o1)C(Nc1ccccn1)c1cccc(F)c1
BRD-A03764094,BRD-A03764094,,CC1=C(C(NC(=O)N1)c1ccc(F)cc1)C(=O)OCc1ccc2OCOc2c1
BRD-A03772856,BRD-A03772856,3237298,COc1ccccc1C2N(C(=O)C3CCCN23)c4ccc(Cl)cc4
BRD-A03797239,BRD-A03797239,,O=C1N(Cc2ccc3OCOc3c2)C(Nc2ccc3OCCOc3c2)c2ccccc12
BRD-A03816571,"CP 55,940",4412255,CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1
BRD-A03895395,BRD-A03895395,,COc1ccc(cc1)-c1csc(n1)N(CC1CCCO1)C(=O)c1ccccc1
BRD-A03898562,AZADIRACHTIN,,COC(=O)[C@@]1(O)OC[C@@]23C4[C@@H](OC[C@@]4([C@@H](C[C@@H]2OC(=O)C(\C)=C\C)OC(C)=O)C(=O)OC)[C@@H](O)[C@](C)([C@H]13)C12O[C@@]1(C)[C@H]1C[C@@H]2OC2OC=C[C@]12O
BRD-A03900096,BRD-A03900096,,COc1ccc(cc1)C1C=C(C)Nc2nc(SC)nn12
BRD-A03909373,BRD-A03909373,,CCC1(C)Cc2c(CS1)sc1[nH]c(=O)[nH]c(=O)c21
BRD-A03912107,BRD-A03912107,,Oc1nc2SC3C4CCC(C4)C3C(c2s1)c1ccccc1
BRD-A03925449,BRD-A03925449,,COc1ccc(cc1OC)C1c2ccc(O)cc2Oc2ncn(Cc3ccco3)c(=N)c12
BRD-A03926027,ST-014147,4207396,NC1=C(C#N)C(c2ccc(Br)cc2)c3c(N1)c4ccccc4oc3=O
BRD-A03932035,METHSCOPOLAMINE BROMIDE,,C[N+]1(C)C2CC(CC1C1OC21)OC(=O)[C@@H](CO)c1ccccc1
BRD-A03940741,BRD-A03940741,,CCOC(=O)c1ccc(NC(=O)CC2COc3ccccc3O2)cc1
BRD-A03946276,BRD-A03946276,3921071,[O-][N+](=O)c1ccc2NC(=O)C3(NNc4ccccc4O3)c2c1
BRD-A03958649,BRD-A03958649,,ClCC(=O)N1C(CSc2ccccc12)c1ccccc1
BRD-A03997826,BRD-A03997826,,CCSc1nnc(NC(=O)CSc2nc3CC(C)Sc3c(=O)n2CC)s1
BRD-A04016280,BRD-A04016280,,Cc1ccc(cc1Br)C(=O)NC(=S)NCC1CCCO1
BRD-A04020513,L-BUTHIONINE-SULFOXIMINE,21157,CCCCS(=N)(=O)CCC(N)C(=O)O
BRD-A04026261,YO-2,5713,CCCCCCCCNC(=O)C(Cc1ccc(OCc2ccncc2)cc1)NC(=O)C1CCC(CN)CC1
BRD-A04031618,BRD-A04031618,,CCCCCCCn1c2ccccc2n(CC(O)c2ccco2)c1=N
BRD-A04139106,BRD-A04139106,,COc1ccc(cc1Br)S(=O)(=O)NC1CC2CCC1C2
BRD-A04155648,BRD-A04155648,,CCOc1ccc(cc1OC)C1NC(=O)C(C#N)=C(S)N1c1ccc(OC)cc1
BRD-A04171102,BRD-A04171102,,CC(CNC(=O)c1cncc(O)c1)NC(=O)c1cncc(O)c1
